id,question
597388,What is the budget and revenue of the movie 'Divining' that was released in 2019?
597388,What is the plot of the movie 'Divining' that was released in 2019 and has a running time of 14 minutes?
536166,What is the title of the Russian drama released in 2017 about a young boy's attitude change towards his brother after a barbecue incident?
536166,What are the genres of the movie 'Dogmeat' about a kid looking up to his brother and their change in relationship after a hunting trip?
536166,"Which language is the movie 'Dogmeat' originally in, featuring a boy, his brother, and their friend, and their hunting adventure that goes awry?"
536166,"What is the plot of 'Dogmeat', a drama following a kid who admires his older brother, until they go hunting and encounter a morally questionable situation?"
536166,"Which production company, VGIK, released the drama 'Dogmeat' in 2017, about a young boy's relationship with his brother and the ethical dilemma they face?"
95775,What is the title of the Serbian drama film about a teenager's crude life in post-war Serbia?
95775,What are the genres of the movie 'Clip'?
95775,What language is the movie 'Clip' originally in?
95775,What is the plot of the Serbian drama 'Clip' released in 2012?
95775,Who are the cast members of the movie 'Clip' directed by a woman?
198337,Who are the main actors in the French drama 'Demoniac' from 1957?
198337,"What is the plot of the movie 'Demoniac', also known as 'Les Louves' and 'Demoniaque'?"
198337,What is the significance of the character Gervais assuming the identity of a deceased fellow prisoner in 'Demoniac'?
198337,What is the role of Helene's sister Agnes in 'Demoniac' and why might her dabbling in the black arts be a warning for Gervais?
198337,"Why does Julia, the sister of the dead man Gervais is impersonating, refuse to expose him in 'Demoniac'?"
185470,What is the title and genre of the movie where an astronaut crashes in an abandoned urban wasteland?
185470,Who are the main cast members in the movie 'After the World Ended'?
185470,What is the tagline and release date of the movie that combines drama and science fiction in a post-apocalyptic setting?
185470,What is the average rating and popularity of the movie produced by Vertigoheights Film in 2015?
185470,What are the keywords associated with the movie about a stowaway astronaut and a future space program?
481739,"What is the title of the drama-comedy film that was released in 2017 about a family reuniting in Adelaide, where tensions arise and the family home is about to be sold?"
481739,"Which companies, including the national broadcaster, were involved in the production of 'Fucking Adelaide', a film about a dysfunctional family reunion in Adelaide?"
481739,"What is the plot of 'Fucking Adelaide', the English language movie that revolves around the complexities and joys of being home with family, despite the challenges?"
481739,"Who are some of the key cast members of 'Fucking Adelaide', the Australian film set in Adelaide, featuring actors such as Pamela Rabe, Brendan Maclean, and Kate Box?"
481739,"What are some of the keywords associated with the movie 'Fucking Adelaide', providing insight into the film's themes and setting, such as 'Australia', 'family', and 'Adelaide'?"
854656,What is the title of this documentary about Queen Elizabeth II's arrival at the Diamond Jubilee Thanksgiving Service?
854656,What language is the documentary 'The Queen's Diamond Jubilee: Thanksgiving Service - HRH Queen Elizabeth II's Arrival' in?
854656,Which company produced the documentary about Queen Elizabeth II's arrival at the Diamond Jubilee Thanksgiving Service?
854656,When was the documentary about Queen Elizabeth II's arrival at the Diamond Jubilee Thanksgiving Service released?
854656,How long is the documentary 'The Queen's Diamond Jubilee: Thanksgiving Service - HRH Queen Elizabeth II's Arrival'?
270806,"What is the title of the family movie released in 2011 by Engine 15 Media Group, D PYX-MPS Studios, and Robert Paschall Jr. Productions?"
270806,"Who are the credits for Grand Prix: The Winning Tale: Carlisle Diana, Justice Luce, Sinjin Venegas, Hunter Pecunia, Mack White III, and Hunter Carson?"
270806,In which original language was Grand Prix: The Winning Tale produced?
270806,"What is the plot of Grand Prix: The Winning Tale, with a vote average of 1.0 and vote count of 1?"
270806,"What is the length of Grand Prix: The Winning Tale, with a popularity of 1.209 and no reported budget or revenue?"
188186,What is the title of the English music concert that was released in 1970 and has a runtime of 120 minutes?
188186,What genre is the 'Pink Floyd - Live In Atlanta' concert classified as?
188186,Which production company was involved in creating the 'Pink Floyd - Live In Atlanta' concert?
188186,When was the 'Pink Floyd - Live In Atlanta' concert released?
188186,What is the overview of the 'Pink Floyd - Live In Atlanta' concert promoting A Momentary Lapse Of Reason from Atlanta in 1987?
789003,What type of movie is Pike's Peak by Rail?
789003,What is the original language of Pike's Peak by Rail?
789003,What are some historic sites visible along the rail line in Pike's Peak by Rail?
789003,When was Pike's Peak by Rail released?
789003,What is the runtime of Pike's Peak by Rail?
716512,What is the title of the stop motion animation film about the Black Shuck legend?
716512,What genres does the Curse of the Black Shuck movie belong to?
716512,What is the original language of the Curse of the Black Shuck movie?
716512,Who is the production company that released Curse of the Black Shuck in 2020?
716512,What is the runtime and status of the Curse of the Black Shuck movie?
738924,What is the title of the movie about an initiatory journey in Guatemala and Madrid?
738924,What is the original language of the movie Regreso a Casa Ros?
738924,"What happens in the movie when the protagonist's grandfather, who has lost most of his memory, encounters the camera and old photographs?"
738924,When was the release date of the movie Regreso a Casa Ros?
738924,What is the runtime of the movie Regreso a Casa Ros?
174913,"What is the title of the 1918 comedy film produced by Rolin Films and starring Harold Lloyd, Bebe Daniels, and Snub Pollard?"
174913,"What is the plot of the movie 'Hey There', including the reason for Harold Lloyd's studio adventure and his goal?"
174913,"Which actress dropped a letter that Harold Lloyd's character wants to return to her, and what is her character's name?"
174913,What are some of the comedic situations that Harold Lloyd's character finds himself in during the movie 'Hey There'?
174913,"What is the running time and release date of the silent comedy 'Hey There', and what is its popularity score?"
267138,What is the title of the Portuguese drama about a Lebanese immigrant's life in Brazil?
267138,What genres does the 2012 movie 'A Última Estação' belong to?
267138,In which language was 'A Última Estação' originally produced?
267138,"What is the plot of 'A Última Estação', which follows a Lebanese immigrant's life in Brazil over 50 years?"
267138,"Who are the credits for 'A Última Estação', including Mounir Maasri, Elisa Lucinda, Klarah Lobato, João Antonio, and Edgard Navarro?"
936422,What is the title of the late era Italian documentary?
936422,What language is the documentary 'Obsessed World' in?
936422,Can you provide the release date for the documentary 'Obsessed World'?
936422,What is the runtime of the documentary 'Obsessed World'?
936422,What is the popularity of the documentary 'Obsessed World'?
247992,What is the title of the mockumentary directed by Alexander Maxwell?
247992,What are the genres of 'It's All for Sale'
247992,What is the original language of the movie released in 1969-11-02?
247992,What are the names of the credits listed for 'It's All for Sale'?
247992,What is the tagline for the movie with a vote average of 6.0?
805,What is the title of the Drama-Horror-Thriller movie about a young couple moving into a Manhattan apartment building with a sinister reputation?
805,Which companies produced the movie 'Rosemary's Baby' that was released in 1968?
805,What is the plot of 'Rosemary's Baby' about a young couple starting a family in an infamous New York apartment building?
805,"Who are some of the main cast members in the movie 'Rosemary's Baby', including Mia Farrow and John Cassavetes?"
805,"What are some of the keywords associated with 'Rosemary's Baby', such as satanism, conspiracy, and demonic possession?"
517342,What is the title of the movie about a cleaning woman who gets involved in an illegal catch?
517342,"What is the original language of the movie Caught, which was released in 2017?"
517342,"Can you give me the overview of the movie Caught, which has a runtime of 20 minutes?"
517342,"How popular is the movie Caught, as measured by its popularity score?"
517342,"What is the budget and revenue of the movie Caught, which was released in 2017?"
422547,What is the title of the Chinese drama-war movie that was released in 1948 and has a runtime of 128 minutes?
422547,Who are the credits for the movie 'Far Away Love'?
422547,What genre does the movie 'Far Away Love' belong to?
422547,What is the plot of the movie 'Far Away Love' about?
422547,What is the popularity of the movie 'Far Away Love'?
285515,What is the title of the documentary about the emotional journey of children and foreign brides in a Taiwanese town affected by a typhoon in 2009?
285515,What language is Bridge Over Troubled Water originally in?
285515,"What is the plot of Bridge Over Troubled Water, including the competition and the exotic cuisine served by foreign brides?"
285515,What is the runtime and release date of Bridge Over Troubled Water?
285515,What is the vote average and vote count for Bridge Over Troubled Water?
49022,"What is the title of the Comedy-Drama-Romance movie set in English and released in 2011, based on a novel or book, involving a one-night stand between a successful attorney and her longtime crush who is engaged to her best friend?"
49022,"Which production companies, Wild Ocean Films, Alcon Entertainment, and 2S Films, worked together on the 2011 movie 'Something Borrowed' having Ginnifer Goodwin, Kate Hudson, and Colin Egglesfield in the cast?"
49022,"What are the key elements of the plot of 'Something Borrowed', a 2011 movie, including a drunk one-night stand, a secret crush, a childhood friends' falling out over a love affair, and a mid credits scene?"
49022,"Who are the main characters in 'Something Borrowed', a 2011 movie, with Rachel, Dex, Darcy, Ethan and which actors and actresses played them: Ginnifer Goodwin, Colin Egglesfield, Kate Hudson, John Krasinski?"
49022,"How much revenue did the 2011 movie 'Something Borrowed', directed by Luke Greenfield, generate compared to its budget of 35 million dollars?"
39002,"What is the title of the action-drama movie released in 1989, with a budget of 8 million dollars and a revenue of 16.09 million dollars, known for its pro wrestling theme?"
39002,"Who are the main cast members in the movie 'No Holds Barred', including Hulk Hogan, Tiny Lister Jr., Joan Severance, Kurt Fuller, and David Paymer?"
39002,"What is the plot of 'No Holds Barred', where Rip, the World Wrestling Federation champion, is pursued by Brell, the head of the World Television Network, to wrestle for his network?"
39002,"What is the tagline for the 1989 movie 'No Holds Barred', which involves no ring, no ref, and no rules?"
39002,What is the runtime and popularity of the movie 'No Holds Barred'?
83833,What is the title of the horror movie that was released in 2010?
83833,What languages is the movie Nostrum available in?
83833,What is the plot of the horror movie Nostrum?
83833,Who are the credits of the movie Nostrum?
83833,What is the runtime of the movie Nostrum?
664258,What is the title of the 3D Eternalism film that was released in 2016?
664258,What is the original language of the movie 'Lurking'?
664258,When was the movie 'Lurking' released?
664258,What is the runtime of the movie 'Lurking'?
664258,How many votes did the movie 'Lurking' receive?
536201,What is the title of the documentary about the Ecuadorian militant group 'Alfaro Vive Carajo'?
536201,What genre is the documentary 'Alfaro Vive Carajo: Del sueño al caos' classified under?
536201,What is the original language of the documentary 'Alfaro Vive Carajo: Del sueño al caos'?
536201,"What major event happened to the political party 'Alfaro Vive Carajo' in 2007, as depicted in the documentary?"
536201,Who is the production company that released the documentary 'Alfaro Vive Carajo: Del sueño al caos' in 2007?
534745,What is the title of the documentary featuring Brian Winston's analysis of television network news?
534745,What genre does the show 'Brian Winston Reads the TV News' belong to?
534745,What language is 'Brian Winston Reads the TV News' originally in?
534745,Which company produced the documentary 'Brian Winston Reads the TV News'?
534745,What is the duration of the live show 'Brian Winston Reads the TV News'?
793408,What is the title of the French documentary film from 1913 with a runtime of 5 minutes and a popularity score of 0.6?
793408,"What is the name of the production company for The Rocks and Caves of Baume, a documentary film released in 1913?"
793408,"How popular is the documentary film The Rocks and Caves of Baume, with a popularity score of 0.6?"
793408,"What is the release date of The Rocks and Caves of Baume, a French documentary film with a runtime of 5 minutes?"
793408,"Does The Rocks and Caves of Baume, a 1913 French documentary, have a budget or revenue listed?"
517778,"What is the title of the French film released in 1985 that features sketches of different places in the United States, Versailles, and Paris?"
517778,What are the genres of the 1985 French movie 'Journaux 1983-1985'?
517778,In what language was the 'Journaux 1983-1985' film originally produced?
517778,"What is the film 'Journaux 1983-1985' about, in a nutshell?"
517778,What is the duration and release status of the 1985 French movie 'Journaux 1983-1985'?
225179,What is the title of the Drama-Comedy-Romance movie released in 2011 that explores the philosophy of close-hearted individuals leaving quickly due to fate?
225179,"Who are the main cast members of the Kannada movie Paramathma, released in 2011?"
225179,"What are the popular keywords associated with the movie Paramathma, released in 2011?"
225179,What is the vote average of the 2011 movie Paramathma?
225179,"What is the runtime of the 2011 Kannada movie Paramathma, which is a Drama-Comedy-Romance?"
253821,What is the title of the movie that explores the relationship between reality and virtual reality in a dystopian future?
253821,What is the language in which the movie 'Perspective' was produced?
253821,What is the plot of 'Perspective' where the real world merges with virtual and raises questions about one's identity?
253821,What is the release date of the movie 'Perspective' that got mixed reviews from the audience?
253821,What is the runtime of the movie 'Perspective' which raises questions about the concept of self in a virtual world?
266713,What is the title of the 1982 comedy movie about a family traveling with a carousel in the French countryside?
266713,Which language is the original 'Family Rock' movie in?
266713,"What is the plot of 'Family Rock', where a family's union is threatened while traveling with a carousel?"
266713,What is the runtime of the 'Family Rock' movie?
266713,Who are the cast members of the 'Family Rock' movie?
787352,What is the title of the crime movie released in 1970?
787352,What languages is the movie Consequences available in?
787352,What is the plot of the movie Consequences about?
787352,Who are the main cast members of Consequences?
787352,What is the length of the movie Consequences in minutes?
488713,What is the title of the TV comedy movie released in 2012 about two escalator handrail salesmen?
488713,"Which production company, Laughing Man Productions, released the movie 'Stand by Your Booth' in 2012?"
488713,What is the plot of the movie 'Stand by Your Booth' about two salesmen trying to protect their jobs and sanity?
488713,How long is the runtime of the 2012 TV-Movie-Comedy 'Stand by Your Booth'?
488713,What are the names of the cast members in the movie 'Stand by Your Booth'?
620462,"What is the title of the French drama-mystery TV movie that is based on a real Cold War incident, where a Ukrainian prisoner of conscience had to defend his Christian faith while under Soviet interrogation?"
620462,What is the original language of the movie 'Credo' that was released in 1983 and has a runtime of 90 minutes?
620462,"Which actors, such as Jean-Louis Trintignant, Nicole Courcel, Bernard Haller, and Jean Bouise, were part of the cast of the movie 'Credo'?"
620462,What are the genres of the movie 'Credo' that was released in 1983 and has a runtime of 90 minutes?
620462,What is the popularity of the movie 'Credo' that was forced to defend his Christian faith while under Soviet interrogation in the Cold War?
173401,What is the title of the movie where an innocent man is forced to become a killer?
173401,What is the original language of The Ante?
173401,Can you summarize the plot of The Ante for me?
173401,What is the runtime of the movie The Ante?
173401,When was The Ante released?
215938,What is the title of the animation adapted from Heather O'Neill's eponymous novel?
215938,What genre does The End of Pinky belong to?
215938,What is the original language of The End of Pinky?
215938,Who is the director of The End of Pinky?
215938,What is the popularity score of The End of Pinky?
206166,What type of movie is Spank!?
206166,What is the original language of Spank!?
206166,What is the plot of Spank!?
206166,Who are the producers of Spank!?
206166,When was Spank! released?
631430,"What is the title of the TV movie-romance that was released in 2020 and features Italia Ricci, Chad Michael Murray, Jack Turner, and Aliyah O'Brien?"
631430,What is the plot of Love in Winterland?
631430,Who are the main cast members in Love in Winterland?
631430,Which production company is responsible for Love in Winterland?
631430,What is the runtime and status of Love in Winterland?
723555,What is the title of the 1937 thriller movie about smuggling on a luxury liner?
723555,What languages are used in the movie 'Catch as Catch Can'?
723555,What is the plot of 'Catch as Catch Can' about smuggling stolen jewels from France to America?
723555,Which production companies were involved in the making of 'Catch as Catch Can'?
723555,What is the runtime of the movie 'Catch as Catch Can'?
521658,What is the title of the movie where four Neapolitan and a Tunisian fishermen risk their lives by fishing in waters near Sicily?
521658,What are the genres of the movie 'Tornando a Casa'?
521658,What is the original language spoken in the movie 'Tornando a Casa'?
521658,What happens in the movie 'Tornando a Casa' that leads the camorra to revoke the fishermen's licenses to fish locally?
521658,Who is the cast of 'Tornando a Casa' mostly comprised of?
432792,"What is the title of the thriller-crime movie released in 2017, with French as the original language, where a family gets taken hostage by an injured biker who witnesses a murder near their vineyard?"
432792,What are the names of the main cast members in the 2017 French thriller-crime movie 'Thousand Cuts'?
432792,"What is the plot of the French thriller-crime film 'Thousand Cuts' released in 2017, where a family gets taken hostage by an injured biker who witnesses a murder near their vineyard?"
432792,What is the duration and rating of the French thriller-crime movie 'Thousand Cuts'?
432792,Which production company is responsible for the 2017 French thriller-crime film 'Thousand Cuts'?
304796,What is the title of the Spanish drama-mystery movie released in 1962?
304796,What are the genres of the movie 'Odd Number'?
304796,Who are the main cast members in the movie 'Odd Number'?
304796,Where does the relationship of the couple falter in the movie 'Odd Number'?
304796,What is the runtime of the movie 'Odd Number'?
704955,"What is the title of the Polish analytical conceptual film released in 1979, which manipulates the perception of reality using a 16mm film camera?"
704955,What is the popularity of the movie '50 km/h'?
704955,Which production companies were involved in the making of '50 km/h'?
704955,What is the vote average for the movie '50 km/h'?
704955,How many votes has the movie '50 km/h' received?
525563,"What is the title of the drama movie released in 1951, where a woman works as a nurse to overcome her guilt for her husband's death, but then faces the challenge of a patient dying under her care?"
525563,What language was the 1951 drama 'Life in Her Hands' originally produced in?
525563,Can you provide the running time of the movie 'Life in Her Hands'?
525563,Which production company released the movie 'Life in Her Hands' in 1951?
525563,"What is the cast of the 1951 drama 'Life in Her Hands', starring Kathleen Byron, Bernadette O'Farrell, Jacqueline Charles, Jenny Laird, Grace Gavin, and Jean Anderson?"
882315,What is the plot of the animation 'Max Cooper: Penrose Tiling'?
882315,Who composed the music for 'Max Cooper: Penrose Tiling'?
882315,Who is the woman director of 'Max Cooper: Penrose Tiling'?
882315,What is the significance of Penrose Tiling in this animation?
882315,What are the genre and language of the animation 'Max Cooper: Penrose Tiling'?
130275,What is the title of the Comedy-Drama movie released in 1921 with English as the original language?
130275,"Who are the main actors in the movie 'Miss Lulu Bett' including Lois Wilson, Milton Sills, and Theodore Roberts?"
130275,"What is the plot of 'Miss Lulu Bett', where Lois Wilson plays a spinsterish member of the Deacon family?"
130275,"Who are the production companies of 'Miss Lulu Bett', which include Paramount?"
130275,"What is the keyword associated with the movie 'Miss Lulu Bett', which is bigamy?"
239480,What is the title of the Drama-Music movie released in 1949?
239480,Who are the original language speakers in 'African Jim'?
239480,What kind of misfortune happens to Jim when he arrives in Johannesburg?
239480,Who helps Jim get a job in a nightclub as a waiter in 'African Jim'?
239480,Which production company released the 'African Jim' movie?
916672,What is the title of the animation movie that was released in 2021 and is in Persian?
916672,Which genres does the movie 'The Nose' belong to?
916672,"What is the plot of 'The Nose', the animation movie that was released last year?"
916672,Who is the main character in 'The Nose' who finds a nose in the bread he made?
916672,What happened to the nose that Kovalyov was looking for in the movie 'The Nose'?
411380,"What is the title of the short film that reunites Cabaret Voltaire and Peter Care with a new cast and a relocated setting in LA, accompanied by a new soundtrack remixed by Richard H. Kirk?"
411380,What are the genres of Johnny YesNo – Redux?
411380,What is the original language of Johnny YesNo – Redux?
411380,"Who are the credits for Johnny YesNo – Redux, including the actors Isaac Cohen, Andrea Lin, and Salvatore Totino?"
411380,"What is the molecular level change that emerges from Peter Care’s original film and the Cabaret Voltaire tracks used, and what is the ominous sense that Richard H. Kirk’s reconfigured soundtrack gives to the film’s proceedings?"
464851,What is the title of the Comedy-Drama movie that was released in 2016 with a runtime of 5 minutes and received a vote average of 6.0?
464851,"Which movie, released in 2016, has a survival theme and an original language of English with a vote count of 2?"
464851,"Can you name the Comedy-Drama film with a 5-minute runtime, released in 2016, that was produced with a 0 dollar budget?"
464851,"What is the movie that was released with the title Hand Fart, having a vote average of 6.0 and was classified as a Comedy-Drama?"
464851,"Which Comedy-Drama movie, released in 2016, has a survival theme and was released with the title Hand Fart, receiving a vote average of 6.0?"
811167,What is the title of the movie that explains the causes of fish spoilage and how to keep fish fresh?
811167,What are the genres of the movie titled 'Fish Spoilage Control'?
811167,What is the original language of the movie 'Fish Spoilage Control'?
811167,Can you provide a summary of the movie 'Fish Spoilage Control' released in 1956?
811167,Which production companies were involved in creating the movie 'Fish Spoilage Control'?
628290,What is the title of the Korean fantasy-horror-thriller movie released in 2017?
628290,What genres does the movie 'Ride Together' belong to?
628290,What is the plot of the movie 'Ride Together' about?
628290,Who are the main characters in the movie 'Ride Together'?
628290,What is the runtime of the movie 'Ride Together'?
368609,What is the title of the movie about a woman who finds solace in a convent after the death of her child?
368609,What are the genres of the movie 'El amor no es pecado'?
368609,What is the original language of the movie released in 1965?
368609,What is the plot of the movie 'El cielo de los pobres'?
368609,Who are the main credits in the movie with a vote average of 5.3?
16052,What is the title of the biographical drama about the Mexican-American singer who began her career in Texas?
16052,What are the genres of the movie 'Selena'?
16052,What is the original language of the movie 'Selena'?
16052,Who are the production companies of the movie 'Selena'?
16052,"What is the plot of the movie 'Selena', including her relationship with Chris Perez and the making of an English-language album?"
747500,What is the title of the movie about Liang Hongyu's war drum that caused the Jin army to retreat?
747500,What languages is the movie 'How Liang Hongyu's War Drum Caused the Jin Army to Retreat' available in?
747500,Can you give a summary of the plot of the movie 'How Liang Hongyu's War Drum Caused the Jin Army to Retreat'?
747500,How popular is the movie 'How Liang Hongyu's War Drum Caused the Jin Army to Retreat'?
747500,Who are some of the cast members in the movie 'How Liang Hongyu's War Drum Caused the Jin Army to Retreat'?
546592,What is the title of the Korean family movie that is set in a guesthouse on Jeju Island?
546592,What genres is the movie 'Passing Summer' classified under?
546592,Who are the main characters in the movie 'Passing Summer' that was released in 2018?
546592,"What is the plot of 'Passing Summer', where the complicated romances of four individuals unfold on a late summer day?"
546592,What is the vote average of the movie 'Passing Summer' on the scale of 10?
783836,"What is the title of the Chinese romance-fantasy-comedy movie released in 2017 where a freshman sacrifices his sexuality to lure his best friend to join an all-girl modeling team, creating a love triangle?"
783836,Who are the credits for the movie 'My Vampire Schoolmate'?
783836,What is the plot of the Chinese movie 'My Vampire Schoolmate'?
783836,What is the popularity score of 'My Vampire Schoolmate'?
783836,Which production company released the movie 'My Vampire Schoolmate'?
361822,What is the title of the Romance-Animation-Action-Crime movie from 2010 about a schizophrenic pickpocket?
361822,Which production company released the short film 'Pinched' with a runtime of 11 minutes?
361822,"What is the plot of 'Pinched', a movie about a pickpocket dealing with his inner demons and reconnecting with a lost love?"
361822,What is the user rating and popularity of the movie 'Pinched'?
361822,"Which keywords are associated with the movie 'Pinched' including medical conditions, locations, and objects?"
158967,What is the title of the mystery-thriller movie released in 2013 about two families who can't leave an open house?
158967,What companies produced the movie 'House Hunting'?
158967,What is the tagline for the movie that had a runtime of 102 minutes and a vote average of 4.9?
158967,"When was the movie 'House Hunting' released, and what is its original language?"
158967,What are the names of the cast members in the movie 'House Hunting'?
342456,What is the title of the humorous documentary about the making of Alex Cox's punk biopic SID AND NANCY?
342456,What are the genres of the documentary 'England's Glory'?
342456,What is the original language of the documentary 'England's Glory'?
342456,Who are some of the production companies involved in the making of 'England's Glory'?
342456,What is the runtime of the documentary 'England's Glory'?
693832,What is the title of the Russian drama that was released in 2020?
693832,What are the names of the actors in the movie 'DAU. Sasha Valera'?
693832,What is the plot of 'DAU. Sasha Valera'?
693832,Which production companies were involved in the making of 'DAU. Sasha Valera'?
693832,What is the runtime of the movie 'DAU. Sasha Valera'?
564061,What is the title of the documentary that explores the vision of various filmmakers and artists regarding cinema and human landscape?
564061,Which language is the original language of the documentary 'Cold Lands'?
564061,What is the intersection of vision of notable filmmakers and architectural world in the documentary 'Cold Lands'?
564061,Which two production companies are responsible for the making of the documentary 'Cold Lands'?
564061,What is the tagline of the documentary 'Cold Lands' that released in 2018?
397166,What is the title of the documentary about the President's armored limousine?
397166,What is the original language of the documentary 'Ultimate Armored Car: The Presidential Beast'?
397166,What is revealed in the documentary about the Presidential Beast?
397166,When was the documentary 'Ultimate Armored Car: The Presidential Beast' released?
397166,What is the duration of the documentary 'Ultimate Armored Car: The Presidential Beast'?
570897,What is the title of the movie about a mad scientist who transfers a dying president's brain into a younger body?
570897,What is the plot of Cinematic Titanic: The Oozing Skull?
570897,In what language was the movie Cinematic Titanic: The Oozing Skull produced?
570897,What is the release date of the movie featuring a brain transplant and body-napping?
570897,What is the average rating of Cinematic Titanic: The Oozing Skull based on user votes?
433156,What is the title of the Science Fiction-Animation movie where animals have evolved and built a life for themselves in artificial sky cities?
433156,Which studio produced the Japanese Science Fiction-Animation film where children discover a plant seed from the outside world?
433156,"What is the plot of the anime 'Utopa' where kids go on an adventure to the world outside, never to return?"
433156,When was the release date of the young animator training project movie 'Utopa'?
433156,What is the runtime of the Science Fiction-Animation movie 'Utopa' about animals living in sky cities?
327975,What is the title of the Croatian documentary film released in 2014 that has an 11-minute runtime and a new aesthetic due to the decay of a film tape?
327975,Which genres does 'The Red Star Cinema' documentary film fall under?
327975,What is the popularity score of the 'The Red Star Cinema' movie?
327975,Who are the production companies behind 'The Red Star Cinema' film?
327975,What is the vote count for the 'The Red Star Cinema' movie?
419272,What is the title of the thriller movie where young women are kidnapped and forced to behave like horses?
419272,What are the genres of the movie 'Pony Girl'?
419272,What is the original language of the 'Pony Girl' movie?
419272,Who are the main actors in the 'Pony Girl' movie?
419272,What are some keywords associated with the 'Pony Girl' movie?
571004,What is the title of the Spanish film about film students being hunted by a masked assassin in 'Teques'?
571004,Which film company produced 'The Teques Chainsaw Massacre'?
571004,"What is the plot of 'The Teques Chainsaw Massacre', where a group of film students are hunted in 'Teques' by a brutal murderer?"
571004,"How many votes has 'The Teques Chainsaw Massacre' received, with an average rating of 5.4?"
571004,"What is the runtime of 'The Teques Chainsaw Massacre', a Spanish film released in 2020?"
345245,What is the title of the Science Fiction movie released in 1980 about an old man who saves an alien capable of time travel and they both end up in the past on the old man's wedding day?
345245,"Who are the main credits in the Estonian movie 'Pulmapilt' directed by Rein Aren and Lembit Ulfsak, Raul Tammet, Katrin Püttsepp, Paul Laasik, Ella Rihvk, Ants Tomband, Jüri Garšnek, Raili Jõeäär played the lead roles?"
345245,"What is the plot of the movie 'Pulmapilt' where two individuals, one of whom is an alien, face ethical dilemmas after time traveling to the past?"
345245,"Which production companies, Tallinnfilm-Mosfilm, were involved in producing the 1980 Sci-Fi movie 'Pulmapilt' featuring an old man and a time traveling alien?"
345245,"What is the runtime of the Estonian language film 'Pulmapilt' about an alien's impact on an old man's wedding day, originally released in 1980?"
136786,What is the title of the documentary about the 42 year relationship between Liv Ullmann and Ingmar Bergman?
